Sno,src_loc,date,time,ang_wdt,vcdaw,spce_spd,fht_spd2,20RS_spd2,accel,mass ,KE,mpa ,src_typ,NOAA,onset_time,hale_class,flr_class,flr_dt,flr_tm,icme_dst_dt,icme_dst_tm,plsm_strt_dt,plsm_strt_tm,plsm_end_dt,plsm_end_tm,comp_strt,comp_end,qual,dv ,v,min_dst_icme ,v_max ,meanB,mc,v_trans ,trans_time ,icme_sz ,Icme_min_Bz,sheath_spd ,sheath_sz ,sheath_dst,sheath Bz
60,N06W08,2000/07/25,3:30,360,528,900,494,425,-5.8,1.6e+15*2,2.3e+30*2,168,AR,9097,2:43,βγ,M8.0,,,2000/07/28,6:34:00,2000/07/28,12:00:00,2000/07/30,13:00,2,30,2,70 S,440,-71,480,9,2,550,75,,,,,,
61,N12E27,2000/08/06,22:30,>122,211,,211,211,0.0*1,----,----,337,AR,9114,21:01,β,,,,2000/08/10,5:01:00,2000/08/10,19:00:00,2000/08/11,21:00,0,nc,1,50 S,430,-106,480,12,2H,530,78,,,,,,
62,N20E12,2000/08/09,16:30,360,702,1007,731,720,2.8,7.0e+15*2,1.7e+31*2,12,AR,9114,15:53,βγ,C2.3,,,2000/08/11,18:45:00,2000/08/12,5:00:00,2000/08/13,22:00,-3,0,1,120 S,580,-235,670,18,2,830,50,,,,,,
63,N26W37,2000/08/29,18:30,122,769,,765,766,-0.5,1.9e+15*2,5.5e+30*2,343,AR,9144,17:49,β,,,,2000/09/02,22:00:00,2000/09/02,22:00:00,2000/09/03,13:00,0,0,1,40,420,-20,450,8,0,418,98,,,,,,
64,N09W23,2000/09/05,5:54,138,473,,461,468,-0.7,3.2e+15*2,3.5e+30*2,355,AR,9151,4:56,β,,,,2000/09/08,12:00:00,2000/09/08,12:00:00,2000/09/10,10:00,0,-18,3,50,450,-48,500,5,0,530,78,,,,,,
65,,2000/09/15/16,,,,,,,,,,,data gap jhelio,,,,,,,2000/09/17,16:57 (A),2000/09/17,21:00:00,2000/09/21,0:00,0,12,,250 S,600,-201,840,10,2,,#DIV/0!,,,,,,
66,S09E00,2000/10/02,20:26,360,569,984,478,483,-8.2,3.9e+15*2,6.3e+30*2,180,AR,9176,19:49,βγ,C4.5,,,2000/10/05,3:26:00,2000/10/05,13:00:00,2000/10/07,11:00,0,ns,2,110 S,450,-182,530,6,1,756,54,,,,,,
67,N02W16,2000/10/09,23:50,175,798,,709,747,-9.8,1.4e+16*2,4.6e+31*2,318,AR,9182,23:10,β,C6.7,,,2000/10/12,22:28:00,2000/10/13,16:00:00,2000/10/14,17:00,-4,3,1,120 S,400,-107,460,12,2,590,70,,,,,,
68,N09W63,2000/10/25,8:26,360,770,813,948,885,17.4,1.7e+16*2,5.1e+31*2,275,AR,9201,8:42,β,,,,2000/10/28,9:54:00,2000/10/28,21:00:00,2000/10/29,22:00,-9,12,1,50 S,380,-127,420,14,2,565,73,,,,,,
69,N02W02,2000/11/03,18:26,360,291,701,475,643,16.4,4.8e+15*2,2.1e+30*2,57,AR,9213,16:39,β,C3.2,,,2000/11/06,9:48:00,2000/11/06,17:00:00,2000/11/08,3:00,0,0,2,110 S,510,-159,610,20,2,660,62,,,,,,
